,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,When We Were Young,25,Adele,2015-11-20,290900,76,0.377,0.303,0.377,0.595,0.0,0.095,-5.936,0.0489,144.464,4
40,Set Fire to the Rain,21,Adele,2011-01-19,242973,76,0.603,0.00408,0.603,0.67,1.66e-06,0.112,-3.882,0.0249,107.995,4
41,&Run,"Don't You Worry, Honey",Sir Sly,2017-06-30,226587,60,0.764,0.0203,0.764,0.661,0.000179,0.179,-8.276,0.0526,92.018,4
42,Fly You to the Moon,Fly You to the Moon,mike.,2019-01-28,191190,61,0.478,0.815,0.478,0.336,0.0,0.093,-10.51,0.0538,80.552,4
43,Icky Thump,Icky Thump,The White Stripes,2007-06-15,254533,65,0.424,0.021,0.424,0.632,0.0117,0.0545,-7.243,0.0922,97.694,4
44,All I Think About Is You,All I Think About Is You,Ansel Elgort,2017-06-23,188186,55,0.46,0.0682,0.46,0.785,0.0,0.0971,-4.72,0.0642,97.948,4
45,Writer In The Dark,Melodrama,Lorde,2017-06-16,216610,63,0.325,0.73,0.325,0.271,0.0,0.301,-8.069,0.0418,71.855,4
46,All I Ask,25,Adele,2015-11-20,271800,73,0.592,0.889,0.592,0.28,0.0,0.124,-5.494,0.0283,141.899,4
47,Magic,Magic,Rudy Mancuso,2018-03-02,194115,51,0.802,0.395,0.802,0.59,0.152,0.096,-9.871,0.0434,94.0,4
48,Stupid Deep,Glory Sound Prep,Jon Bellion,2018-11-09,178176,67,0.362,0.732,0.362,0.377,0.000631,0.127,-9.713,0.0339,137.891,4
49,Carry on Wayward Son,The Essential Kansas,Kansas,2010,322093,65,0.452,0.00283,0.452,0.788,0.000116,0.441,-5.712,0.0326,126.739,4
50,Simple Man,(Pronounced 'Leh-'Nérd 'Skin-'Nérd),Lynyrd Skynyrd,1973,357933,68,0.461,0.00079,0.461,0.734,0.00554,0.22,-9.379,0.0374,120.55,4
51,Lento,Lento,Rudy Mancuso,2018-09-19,169251,47,0.837,0.149,0.837,0.649,7.63e-05,0.103,-5.26,0.192,164.002,4
52,Ben - Single Version,Ben,Michael Jackson,1972-08-04,167386,54,0.435,0.911,0.435,0.161,0.000214,0.113,-10.84,0.0298,136.166,4
53,Dancing In The Moonlight,Dancing In The Moonlight,King Harvest,1973-01-01,178045,58,0.653,0.684,0.653,0.719,0.0,0.408,-5.262,0.0363,136.153,4
54,New Light,New Light,John Mayer,2018-05-10,216014,80,0.828,0.325,0.828,0.689,0.0384,0.0808,-7.878,0.0326,123.931,4
55,Bubbly,Coco,Colbie Caillat,2007-01-01,196280,71,0.697,0.603,0.697,0.474,0.0,0.11,-6.663,0.0351,127.904,4
56,you were good to me,you were good to me,Jeremy Zucker,2019-04-19,219173,0,0.46,0.909,0.46,0.0834,1.98e-05,0.112,-15.095,0.0433,98.329,4
57,Lost Stars,Lost Stars,Adam Levine,2014-06-23,267933,61,0.498,0.105,0.498,0.583,0.0,0.0698,-4.762,0.0274,82.071,4
58,Morning Has Broken,Teaser And The Firecat,Yusuf / Cat Stevens,1971-01-01,200000,69,0.424,0.622,0.424,0.321,0.0196,0.0903,-13.162,0.0312,133.126,3
59,Clearly,Clearly,Grace VanderWaal,2018-03-30,251906,58,0.663,0.125,0.663,0.673,1.58e-06,0.248,-6.152,0.0586,98.0,4
60,Gossip Girl,Perfectly Imperfect,Grace VanderWaal,2016-12-02,205133,48,0.486,0.209,0.486,0.574,0.0,0.345,-6.675,0.129,144.769,4
61,Ooh,The Definition,Jon Bellion,2014-09-23,219227,53,0.827,0.82,0.827,0.405,8.01e-05,0.103,-8.95,0.0463,114.989,4
62,Imagine - Remastered 2010,Imagine,John Lennon,1971-09-09,187866,78,0.547,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,75.752,4
63,Complicated,Complicated,Olivia O'Brien,2015-08-09,189000,78,0.657,0.694,0.657,0.355,0.000427,0.123,-12.044,0.0714,74.99,4
64,Lie,Perception,NF,2017-10-06,209213,79,0.513,0.161,0.513,0.661,0.0,0.246,-6.419,0.24,94.791,4
